time_s,brut_N,filtered_N,applied_N,ressenti_N
1777972636.681070,0.06492227,0.1096752,0,0
1777972636.683090,0.2040412,0.1213695,0,0
1777972636.685080,0.1095834,0.1192166,0,0
1777972636.687140,0.1174224,0.1148332,0,0
1777972636.689060,0.2052432,0.1243988,0,0
1777972636.691030,0.139739,0.124703,0,0
1777972636.693020,0.2394762,0.1386613,0,0
1777972636.695080,0.274297,0.1551115,0,0
1777972636.697030,0.4333684,0.1910014,0,0
1777972636.699060,0.2524801,0.1976575,0,0
1777972636.701080,0.3525567,0.2163204,0,0
1777972636.703080,0.1931505,0.2107959,0,0
1777972636.705020,0.1582268,0.2007691,0,0
1777972636.707070,0.09036009,0.1789013,0,0
1777972636.709020,0.08924262,0.1651108,0,0
1777972636.711100,0.1497435,0.160668,0,0
1777972636.713090,0.008017213,0.1401991,0,0
1777972636.715020,0.1736046,0.1410758,0,0
1777972636.717130,0.2737029,0.1580916,0,0
1777972636.719090,0.1821778,0.1591252,0,0
1777972636.721080,0.1845779,0.1621882,0,0
1777972636.723070,0.3059287,0.1775383,0,0
1777972636.725030,0.1180591,0.1670398,0,0
1777972636.727070,0.2001694,0.16524,0,0
1777972636.729110,0.05458852,0.1471362,0,0
1777972636.731020,0.1646023,0.1489262,0,0
1777972636.733090,0.08785792,0.1378173,0,0
1777972636.735010,0.277492,0.1551738,0,0
1777972636.737040,0.2179666,0.1588834,0,0
1777972636.739020,0.1728532,0.1606599,0,0
1777972636.741020,0.1876873,0.1633691,0,0
1777972636.743140,0.1180135,0.1555271,0,0
1777972636.745010,0.1921753,0.1599639,0,0
1777972636.747070,0.1257767,0.1554939,0,0
1777972636.749040,0.009017338,0.1351633,0,0
1777972636.751070,0.03764593,0.1168814,0,0
1777972636.753030,0.07450993,0.1094899,0,0
1777972636.755030,0.1204389,0.1096138,0,0
1777972636.757020,0.2651695,0.1298031,0,0
1777972636.759030,0.1319286,0.1297511,0,0
1777972636.761100,0.1023404,0.1248974,0,0
1777972636.762970,0.1684814,0.1298573,0,0
1777972636.764960,0.1720322,0.1337062,0,0
1777972636.767100,0.1172914,0.1314752,0,0
1777972636.769020,0.2570184,0.147585,0,0
1777972636.771080,0.247513,0.1595535,0,0
1777972636.773020,0.2563819,0.1715777,0,0
1777972636.775060,0.1812929,0.1713638,0,0
1777972636.777060,0.276365,0.1839937,0,0
1777972636.779070,0.1781776,0.1811067,0,0
1777972636.781010,0.1745957,0.1765049,0,0
1777972636.783140,0.1300463,0.1638163,0,0
1777972636.785010,0.2344116,0.1686378,0,0
1777972636.787090,0.287712,0.1827477,0,0
1777972636.789030,0.3367167,0.2013387,0,0
1777972636.791010,0.2394909,0.2061276,0,0
1777972636.793070,0.4070926,0.2275573,0,0
1777972636.795080,0.1587512,0.2178361,0,0
1777972636.797050,0.1816365,0.2120984,0,0
1777972636.799090,0.08614799,0.1939224,0,0
1777972636.801020,0.2039695,0.1914986,0,0
1777972636.803010,0.2330407,0.1916285,0,0
1777972636.805010,0.2262576,0.1943461,0,0
1777972636.807070,0.1713978,0.1868879,0,0
1777972636.809050,0.1208134,0.1747547,0,0
1777972636.811010,0.1661713,0.1726577,0,0
1777972636.813030,0.1169758,0.1627571,0,0
1777972636.815020,0.2180694,0.1693568,0,0
1777972636.817050,0.2337756,0.1772465,0,0
1777972636.819050,0.2354098,0.1845002,0,0
1777972636.821040,0.1383811,0.1769483,0,0
1777972636.823010,0.3088585,0.1937541,0,0
1777972636.825050,0.1233086,0.1803521,0,0
1777972636.827050,0.1601422,0.1756285,0,0
1777972636.829060,0.2038794,0.1789051,0,0
1777972636.831060,0.1388171,0.1719776,0,0
1777972636.833070,0.240501,0.1798229,0,0
1777972636.835060,0.1458438,0.1750571,0,0
1777972636.837010,0.07037799,0.1608217,0,0
1777972636.839120,0.09587936,0.1516659,0,0
1777972636.841090,0.06845498,0.1375805,0,0
1777972636.843060,0.1233185,0.1352446,0,0
1777972636.845080,0.1097086,0.128383,0,0
1777972636.847050,0.24819,0.1419451,0,0
1777972636.849050,0.1353228,0.1396971,0,0
1777972636.851070,0.1481266,0.1253054,0,0
1777972636.853020,0.1452956,0.1278871,0,0
1777972636.855090,0.2151941,0.135016,0,0
1777972636.857040,0.1812682,0.1405739,0,0
1777972636.859080,0.3482526,0.1667366,0,0
1777972636.861050,0.3812493,0.1941437,0,0
1777972636.863080,0.19637,0.1906689,0,0
1777972636.865120,0.1849094,0.1852904,0,0
1777972636.867030,0.1840227,0.1824946,0,0
1777972636.869050,0.3249906,0.1999027,0,0
1777972636.871030,0.1935104,0.1969775,0,0
1777972636.873030,0.2692761,0.2060904,0,0
1777972636.875020,0.21874,0.2076581,0,0
1777972636.877060,0.2231249,0.2094292,0,0
1777972636.879030,0.2654686,0.2128341,0,0
1777972636.881030,0.237643,0.2152377,0,0
1777972636.883070,0.1794231,0.2066028,0,0
1777972636.885090,0.1211851,0.1952146,0,0
1777972636.887040,0.2656014,0.2034574,0,0
1777972636.889080,0.2131647,0.2045178,0,0
1777972636.891090,0.154169,0.1947078,0,0
1777972636.893040,0.1297395,0.1840287,0,0
1777972636.895080,0.3271177,0.2019356,0,0
1777972636.897050,0.1953472,0.2009451,0,0
1777972636.899050,0.1527335,0.1933059,0,0
1777972636.901060,0.118532,0.1830985,0,0
1777972636.903030,0.2023724,0.1851235,0,0
1777972636.905060,0.235638,0.1888407,0,0
1777972636.907070,0.1742756,0.186673,0,0
1777972636.909050,0.2699673,0.1964153,0,0
1777972636.911120,0.1377166,0.1871872,0,0
1777972636.913100,0.22609,0.1884064,0,0
1777972636.915120,0.2398367,0.1940636,0,0
1777972636.917040,0.2072806,0.193716,0,0
1777972636.919090,0.175956,0.1899124,0,0
1777972636.921040,0.2349553,0.194179,0,0
1777972636.923070,0.2742297,0.2031139,0,0
1777972636.925040,0.1971202,0.2011237,0,0
1777972636.927050,0.3135539,0.214724,0,0
1777972636.929100,0.05844611,0.1922359,0,0
1777972636.931010,0.08727305,0.1764391,0,0
